Project Name,Total RAC,Avg RAC,Whitelisted
albert@home,275,55,FALSE
asteroids@home,1024285.71,4800,TRUE
atlas@home,22333.33,340,TRUE
bitcoin utopia,1180630340,14396180,TRUE
burp,21500,690,TRUE
cas@home,3120,110,TRUE
citizen science grid,185333.33,1720,TRUE
climateprediction.net,42500,620,TRUE
collatz conjecture,29370100,219333.33,TRUE
constellation,120,20,FALSE
cosmology@home,101333.33,1000,TRUE
denis@home,867333.33,12500,TRUE
distributed data mining,87333.33,1880,TRUE
edges@home,40,20,FALSE
einstein@home,2225714.29,8560,TRUE
enigma@home,308000,2160,TRUE
find@home,56666.67,810,TRUE
gpugrid,15240510,141333.33,TRUE
gridcoin finance,24833.33,370,TRUE
lattice project,1240,105,FALSE
leiden classical,36833.33,405,TRUE
lhc@home,30333.33,220,TRUE
malariacontrol.net,137333.33,1000,TRUE
milkyway@home,2892857.14,11166.67,TRUE
mindmodeling@home,93333.33,770,TRUE
moo! wrapper,4230000,47000,TRUE
nfs@home,164666.67,2560,TRUE
numberfields@home,261333.33,3720,TRUE
poem@home,10897620,49166.67,TRUE
primaboinca,11666.67,1480,FALSE
primegrid,6047142.86,42500,TRUE
quake catcher network,145,50,FALSE
radioactive@home,240,120,FALSE
ralph@home,35,17.5,FALSE
rosetta@home,426666.67,1560,TRUE
sat@home,150666.67,2080,TRUE
seti@home,874000,2680,TRUE
seti@home beta,2880,320,FALSE
srbase,19166.67,4760,FALSE
sztaki desktop grid,21333.33,455,TRUE
theskynet pogs,266666.67,2520,TRUE
universe@home,232666.67,3480,TRUE
van der waerden numbers,45,22.5,FALSE
vlhcathome,25333.33,425,TRUE
volpex@uh,45,22.5,FALSE
world community grid,622666.67,2520,TRUE
wuprop@home,18666.67,140,TRUE
yafu,110000,2400,TRUE
yoyo@home,247333.33,2480,TRUE
,,,
